63cff02ee037183a8c260ea8,5d5a48a67ca41f0001e97f8b,5909955b9e26f200016e1247,60f22ce19d3c98dacd6d464f,5e63e793e50a6316a75213c4,63fcb3abff7248e2177ddb48,5e0b8d156aab7c39d83797d3,55c233f8fdf99b3d97521979,605d7729ce17bf97fbf2d781,5e74e1df5ae15103a51a1ee8,60fcdfac81bec43078236e55,60dd073dffbfd7e857ea836b,60fdc5c27df92fe62a07a0c3,5e7995061a79d455837f95e1,58a2952076c5b7000166150a,5d8a797185a7f1001a27c3cf,DPR,LLAMA,GPT4,Claim,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
1.0,,,,,,,,,,,,,,,,1,1,1,"The Abbasid Caliphate\'s most celebrated work, though not the Caliphate itself, was cut short by North Asians.",SUPPORTS,0,0,0.0,0,1,1,1
1.0,,,,1.0,,,,,0.0,,,,,,,0,1,1,"The german novel, The Magic Mountain, was put on hold during the beginning of World War I as the author reexamined his worldview.",SUPPORTS,1,1,1.0,1,1,1,1
0.0,,,,,,,,,,,,,,,,0,1,0,"The film was shot in many locations including Washington, Ohio, and Pennsylvania.",SUPPORTS,1,1,0.0,0,1,1,1
1.0,,,,,,,,1.0,,,,,,,,0,1,1,The Magic Mountain is a book about a man attempting to find a mountain upon which grows a flower that will heal his wife.,REFUTES,1,1,1.0,1,0,1,0
1.0,1.0,,,,,,,,,,,,,,,0,1,1,The giant animal with a regal title in that famous tale actually climbed the Chrystler building which was much taller at the time.,REFUTES,1,1,1.0,1,0,1,0
1.0,,,,,1.0,,,,,,,,,0.0,,0,1,1,Thelonious Monk is a British musician.,REFUTES,1,1,1.0,1,0,1,0
1.0,,,,,,,,,,,,,,,,0,1,1,The Erie Canal has taken the same route since its creation.,REFUTES,1,1,1.0,1,0,1,0
0.0,,0.0,,,,,,,,,,,,,,0,1,1,The Pacific War was multi-pronged and was fought on land and sea for dominance.,SUPPORTS,1,1,0.0,0,1,1,1
1.0,,,,,,,,,1.0,,,,,,,0,1,1,Henry I got married and took the throne in 1100.,SUPPORTS,1,1,0.0,1,1,0,1
1.0,,,,,,,,,,,,,,,,0,0,1,"Before \""True Blood\"" began production, HBO and PepsiCo partnered to create a drink based on the one the vampires drink on the show.",REFUTES,0,0,0.0,1,0,0,0
0.0,,,,,,,,,,,,,,,,1,1,1,British rule was a positive event and aided in equal rights for Uganda.,REFUTES,1,1,1.0,1,0,1,0
