question,a,b,c,A,B,C,D,E,DPR,LLAMA,GPT4,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3
How many non-pet characters live in SpongeBob's neighborhood?,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,How many non-pet characters live in SpongeBob's neighborhood?,3,0,0.0,0.0,0.0
Which political party governs the country directly south of Botswana?,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Which political party governs the country directly south of Botswana?,African National Congress,1,1.0,0.0,0.0
"In the 1920s, a tiger, a kangaroo, a donkey, a pig, and a bear were bought from Harrods in London. Who was this buyer?",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"In the 1920s, a tiger, a kangaroo, a donkey, a pig, and a bear were bought from Harrods in London",AA Milne,0,0.0,0.0,0.0
"What company launched their first advertisement campaign during the 1984 Super Bowl that was inspired by George Orwell's dystopian novel ""1984""?",0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"What company launched their first advertisement campaign during the 1984 Super Bowl that was inspired by George Orwell's dystopian novel ""1984""?",Apple,1,1.0,1.0,1.0
What soldiers would bite during surgical procedures lacking anesthetics is also the name of what extinct NBA team?,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,What soldiers would bite during surgical procedures lacking anesthetics is also the name of what extinct NBA team?,Bullets,0,1.0,0.0,0.0
"What vegetable did Julio Cortazar compare to ""the eye of an insect magnified a thousand times"" and the ""vegetable brain"" in his literary works?.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"What vegetable did Julio Cortazar compare to ""the eye of an insect magnified a thousand times"" and the ""vegetable brain"" in his literary works?",Cauliflower,0,0.0,0.0,0.0
A play by Arthur Miller accounts what series of legal proceedings that accused over 200 individuals of consorting with the Devil in late 17th century New England?,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A play by Arthur Miller accounts what series of legal proceedings that accused over 200 individuals of consorting with the Devil in late 17th century New England?,Salem Witch Trials,1,0.0,1.0,0.0
"Suppose you have the series 4/1, minus 4/3, plus 4/5, minus 4/7 and so on (4 over odd numbers with alternating sign). What is the sum of this series?",0.0,1.0,0.0,,,,,,0.0,0.0,1.0,"Suppose you have the series 4/1, minus 4/3, plus 4/5, minus 4/7 and so on (4 over odd numbers with alternating sign)",pi (this is the Taylor expansion for arctangent multiplied by four),0,0.0,0.0,0.0
Who did not win the 1969 prize for an experiment that confirmed that DNA carried genetic information?,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,Who did not win the 1969 prize for an experiment that confirmed that DNA carried genetic information?,"Martha Chase (her boss, Alfred Hershey did)",0,0.0,0.0,0.0
Suppose you are in the Spanish town of Llivia and you start walking until you reach another country. What country would you enter?,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,Suppose you are in the Spanish town of Llivia and you start walking until you reach another country,France (Llivia is an exclave surrounded by France),0,1.0,1.0,1.0
"Despite a childhood accident that left his shoulders permanently crooked, what Lebanese-American author of a work that entered the public domain in 2019 became famous for his poetry and subtle influence on New Age philosophy?",1.0,0.0,0.0,,,,,,0.0,1.0,1.0,"Despite a childhood accident that left his shoulders permanently crooked, what Lebanese-American author of a work that entered the public domain in 2019 became famous for his poetry and subtle influence on New Age philosophy?",Gibran Khalil Gibran/Khalil Gibran,1,1.0,0.0,1.0
What was the new feature installed in 1899 on the building of a New York restaurant for the first time ever?,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What was the new feature installed in 1899 on the building of a New York restaurant for the first time ever?,Revolving Door,0,0.0,0.0,0.0
"What phrase is common to the title of novel featuring a fictional Nat King Cole recording, a Gene Autry film and song, and an I-95 attraction between the Carolinas?",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"What phrase is common to the title of novel featuring a fictional Nat King Cole recording, a Gene Autry film and song, and an I-95 attraction between the Carolinas?",South of the Border,0,0.0,0.0,0.0
What meme that features a man sitting in a chair next to an unlit cigar and in front of a fireplace came from the Last Dance?,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What meme that features a man sitting in a chair next to an unlit cigar and in front of a fireplace came from the Last Dance?,and I took that personally,0,0.0,0.0,0.0
"This Calculus theorem requires continuity on a closed interval between two points, a and b, as well as differentiability. What theorem, which requires the functional values of a and b to match, produces that a point between the open interval has a derivative of zero?",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"This Calculus theorem requires continuity on a closed interval between two points, a and b, as well as differentiability","[""Rolle's Theorem""]",0,0.0,0.0,0.0
"This book was created by a known author who creates children's books, one of which has a creature who ""speaks for the trees"" Name the book by the same author whose title consists of a type of aquatic creature, two colors of the rainbow, and numbers.",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"This book was created by a known author who creates children's books, one of which has a creature who ""speaks for the trees"" Name the book by the same author whose title consists of a type of aquatic creature, two colors of the rainbow, and numbers","One Fish, Two Fish, Red Fish, Blue Fish",0,0.0,0.0,0.0
"This cheerful duo sings in a musical which repeats a phrase about the lack of trouble, in an East African language, while on the protagonist's journey home. What is the name of this duo?",1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,"This cheerful duo sings in a musical which repeats a phrase about the lack of trouble, in an East African language, while on the protagonist's journey home",Timon and Pumbaa,0,0.0,0.0,0.0
