Questions,Answer,Advtype,Category,Composing Seen Clues,Irrelevant / Novel Clues,Multi-Step Reasoning,Location Misdirection,Temporal Misdirection,Logic & Calculation,Crosslingual,Negation,Domain Expertise,Commonsense / General Knowledge
How many non-pet characters live in SpongeBob's neighborhood?,3,Negation,TV and Film,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Which political party governs the country directly south of Botswana?,African National Congress,Location Misalignment,History,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"In the 1920s, a tiger, a kangaroo, a donkey, a pig, and a bear were bought from Harrods in London. Who was this buyer?",AA Milne,Composing Seen Clues,Literature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"What company launched their first advertisement campaign during the 1984 Super Bowl that was inspired by George Orwell's dystopian novel ""1984""?",Apple,Multi-Step Reasoning,Miscellaneous,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
What soldiers would bite during surgical procedures lacking anesthetics is also the name of what extinct NBA team?,Bullets,Multi-Step Reasoning,Sport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"What vegetable did Julio Cortazar compare to ""the eye of an insect magnified a thousand times"" and the ""vegetable brain"" in his literary works?.",Cauliflower,Composing Seen Clues,Lifestyle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A play by Arthur Miller accounts what series of legal proceedings that accused over 200 individuals of consorting with the Devil in late 17th century New England?,Salem Witch Trials,Domain Expert Knowledge,History,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Suppose you have the series 4/1, minus 4/3, plus 4/5, minus 4/7 and so on (4 over odd numbers with alternating sign). What is the sum of this series?",pi (this is the Taylor expansion for arctangent multiplied by four),Logic & Calculation,Miscellaneous,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Who did not win the 1969 prize for an experiment that confirmed that DNA carried genetic information?,"Martha Chase (her boss, Alfred Hershey did)",Composing Seen Clues,History,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Suppose you are in the Spanish town of Llivia and you start walking until you reach another country. What country would you enter?,France (Llivia is an exclave surrounded by France),Multi-Step Reasoning,Geography,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
