Question,Answer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,LLAMA,GPT4,DPR,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
Who was president of the United States in the year that Citibank was founded?,james madison,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,Who was president of the United States in the year that Citibank was founded?,james madison,0,0,0,0.0,0.0,0,0
What rocket was the first spacecraft that ever approached Uranus launched on?,Titan IIIE,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,0.0,0.0,What rocket was the first spacecraft that ever approached Uranus launched on?,Titan IIIE,0,0,0,0.0,0.0,1,0
In what year was the company that was founded as Sound of Music added to the S&P 500?,1999,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,,,,0.0,,,1.0,,,,,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,In what year was the company that was founded as Sound of Music added to the S&P 500?,1999,0,0,0,0.0,0.0,0,0
Who was the first African American mayor of the most populous city in the United States?,David Dinkins,,,,1.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,0.0,1.0,1.0,,,,1.0,1.0,,,,0.0,,,,0.0,,,,,,0.0,,,,1.0,,,,,,,,,0.0,0.0,,,,,1.0,,,,,0.0,,,1.0,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,,,,,0.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,0.0,0.0,,1.0,0.0,Who was the first African American mayor of the most populous city in the United States?,David Dinkins,0,1,0,0.0,0.0,1,1
When did the last king from Britain's House of Hanover die?,20 June 1837,,,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,1.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,When did the last king from Britain's House of Hanover die?,20 June 1837,0,0,0,0.0,0.0,0,0
When did the president who set the precedent of a two term limit enter office?,"April 30, 1789",,,,,,0.0,,1.0,1.0,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,1.0,0.0,0.0,,,1.0,,1.0,,1.0,0.0,,,,,,1.0,,,,,0.0,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,1.0,,1.0,,,0.0,,,0.0,,,,,,,0.0,,,,1.0,,,,1.0,,,1.0,,,,0.0,,,,,0.0,,,,1.0,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,When did the president who set the precedent of a two term limit enter office?,"April 30, 1789",0,0,0,0.0,0.0,0,0
When did the president who set the precedent of a two term limit leave office?,"March 4, 1797",,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,1.0,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,,,1.0,,,,,,0.0,0.0,,,,,,,,,,,,,1.0,,,,0.0,,,,,,0.0,,,,,,1.0,,,,0.0,,1.0,,,,,,,1.0,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,1.0,,,,,,0.0,,,,,,,,,,,0.0,,,,1.0,,,1.0,,,,0.0,0.0,0.0,When did the president who set the precedent of a two term limit leave office?,"March 4, 1797",0,0,0,0.0,0.0,0,1
How many people died in the second most powerful earthquake ever recorded?,131,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,0.0,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,How many people died in the second most powerful earthquake ever recorded?,131,0,0,0,0.0,0.0,0,0
Can people who have celiac eat camel meat?,Yes,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,0.0,,,1.0,,,0.0,1.0,0.0,Can people who have celiac eat camel meat?,Yes,1,1,0,1.0,0.0,1,1
What was the final book written by the author of On the Origin of Species?,The Formation of Vegetable Mould Through the Action of Worms,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,What was the final book written by the author of On the Origin of Species?,The Formation of Vegetable Mould Through the Action of Worms,0,1,0,0.0,0.0,0,1
When was the company that built the first steam locomotive to carry passengers on a public rail line founded?,1823,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,0.0,When was the company that built the first steam locomotive to carry passengers on a public rail line founded?,1823,0,0,0,0.0,0.0,0,0
Which Theranos whistleblower is not related to a senior American government official?,Erika Cheung,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,1.0,,,,,,,,,0.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,Which Theranos whistleblower is not related to a senior American government official?,Erika Cheung,0,0,0,0.0,0.0,1,0
